Activity,acc_rh_x_iqr,acc_rh_x_max,acc_rh_x_mean,acc_rh_x_median,acc_rh_x_min,acc_rh_x_std,acc_rh_y_iqr,acc_rh_y_max,acc_rh_y_mean,acc_rh_y_median,acc_rh_y_min,acc_rh_y_std,acc_rh_z_iqr,acc_rh_z_max,acc_rh_z_mean,acc_rh_z_median,acc_rh_z_min,acc_rh_z_std,gyro_rh_x_iqr,gyro_rh_x_max,gyro_rh_x_mean,gyro_rh_x_median,gyro_rh_x_min,gyro_rh_x_std,gyro_rh_y_iqr,gyro_rh_y_max,gyro_rh_y_mean,gyro_rh_y_median,gyro_rh_y_min,gyro_rh_y_std,gyro_rh_z_iqr,gyro_rh_z_max,gyro_rh_z_mean,gyro_rh_z_median,gyro_rh_z_min,gyro_rh_z_std
circle,0.17479,0.52549,0.43599,0.3727,0.52549,0.27587,0.12867,0.20113,0.31268,0.16527,0.20113,0.13721,0.19574,0.44836000000000004,0.52075,0.58305,0.44836000000000004,0.25269,0.38033,1.0,1.0,0.5012800000000001,1.0,0.5893,0.1227,0.49322,0.6919,0.8960100000000001,0.49322,0.32898,0.6694399999999999,1.0,0.16351,0.15799000000000002,1.0,0.8137
circle,0.17218,0.39404,0.31868,0.29215,0.39404,0.22728,0.10493,0.20113,0.38959,0.34358,0.20113,0.10998,0.22566,0.44836000000000004,0.53155,0.62659,0.44836000000000004,0.24484,0.20085,1.0,0.6863199999999999,0.41843,1.0,0.5467,0.00625,0.49322,0.31322,0.57102,0.49322,0.26006999999999997,0.55289,1.0,0.40729,0.34168000000000004,1.0,0.7166600000000001
circle,0.10747999999999999,0.18669000000000002,0.36515,0.26919,0.18669000000000002,0.1082,0.07675,0.06309,0.27094,0.26716,0.06309,0.05039,0.10507000000000001,0.38108000000000003,0.47373999999999994,0.60516,0.38108000000000003,0.11205999999999999,0.21420999999999998,0.62536,0.24661,0.31273,0.62536,0.29945,0.01201,0.12685,0.28856,0.57221,0.12685,0.12068,0.33431,0.26123,0.65028,0.41707,0.26123,0.30641
circle,0.10054,0.1046,0.34057,0.27086,0.1046,0.099,0.05655,0.02316,0.18825,0.19664,0.02316,0.03703,0.09797,0.19972,0.35941999999999996,0.5097,0.19972,0.07512,0.19055999999999998,0.29696,0.30585999999999997,0.30146,0.29696,0.25277,0.03921,0.12685,0.19295,0.56417,0.12685,0.13667,0.24245999999999998,0.23068000000000002,0.35761,0.23758,0.23068000000000002,0.26686
circle,0.09884,0.1046,0.37505,0.26293,0.1046,0.10298,0.06493,0.11035999999999999,0.43581000000000003,0.42963999999999997,0.11035999999999999,0.04927,0.09591000000000001,0.07808999999999999,0.30394,0.46918999999999994,0.07808999999999999,0.05341,0.19819,0.92799,0.70227,0.56834,0.92799,0.51523,0.02109,0.21925,0.40195,0.55542,0.21925,0.07235,0.38447,0.59921,0.15947,0.05756,0.59921,0.44104
circle,0.11649000000000001,0.29006,0.6411399999999999,0.55009,0.29006,0.12907000000000002,0.07973,0.14124,0.59865,0.62162,0.14124,0.0649,0.09314,0.21015999999999999,0.38161,0.52578,0.21015999999999999,0.08546000000000001,0.23099,0.92799,0.64179,0.47241000000000005,0.92799,0.5273899999999999,0.02224,0.21925,0.52618,0.45733999999999997,0.21925,0.09619,0.44691000000000003,0.59921,0.21994,0.05756,0.59921,0.54278
circle,0.11137000000000001,0.29006,0.55576,0.51793,0.29006,0.14273,0.08697,0.14124,0.38915,0.26621999999999996,0.14124,0.0764,0.05099,0.21015999999999999,0.38545999999999997,0.5405300000000001,0.21015999999999999,0.0673,0.20815999999999998,0.42607,0.49377,0.30641999999999997,0.42607,0.21500999999999998,0.05586,0.25318,0.41136000000000006,0.48476,0.25318,0.17251,0.31288,0.5201399999999999,0.39478,0.18435,0.5201399999999999,0.38039
circle,0.0957,0.2376,0.28786999999999996,0.22454000000000002,0.2376,0.13422,0.06241,0.16497,0.36271,0.28331,0.16497,0.0419,0.05294,0.0,0.24272,0.41458999999999996,0.0,0.018430000000000002,0.13465,0.2015,0.63618,0.55465,0.2015,0.10779000000000001,0.08732000000000001,0.25318,0.24316999999999997,0.43583,0.25318,0.16082,0.10028,0.34770999999999996,0.52528,0.45378,0.34770999999999996,0.30104000000000003
circle,0.14493,0.2376,0.47723000000000004,0.4474,0.2376,0.14295,0.08308,0.16497,0.49996999999999997,0.53556,0.16497,0.09195,0.0,0.05038,0.15794,0.33321999999999996,0.05038,0.0,0.07817,0.2015,0.67688,0.57104,0.2015,0.11785,0.07581,0.10512,0.14739000000000002,0.34933000000000003,0.10512,0.0586,0.22264,0.6069899999999999,0.33049,0.40357,0.6069899999999999,0.35246
circle,0.12755,0.30301,0.71231,0.6715300000000001,0.30301,0.1267,0.11575,0.16497,0.3425,0.29451,0.16497,0.12104000000000001,0.00617,0.05038,0.17874,0.34528000000000003,0.05038,0.0057399999999999994,0.036410000000000005,0.11142,0.45891000000000004,0.39347,0.11142,0.0945,0.09602000000000001,0.10512,0.5263,0.53628,0.10512,0.07601000000000001,0.18357,0.6069899999999999,0.3243,0.31256999999999996,0.6069899999999999,0.26689
circle,0.14787,0.30301,0.40673000000000004,0.30425,0.30301,0.15685,0.08893999999999999,0.14953,0.3411,0.31811,0.14953,0.09041,0.01542,0.026989999999999997,0.16362000000000002,0.33657,0.026989999999999997,0.014780000000000001,0.0,0.03615,0.63758,0.5363100000000001,0.03615,0.020309999999999998,0.10394,0.0894,0.61346,0.67171,0.0894,0.07396,0.03327,0.18275999999999998,0.43475,0.44538999999999995,0.18275999999999998,0.1237
circle,0.15077000000000002,0.18545,0.41233000000000003,0.2788,0.18545,0.15458,0.11387,0.14953,0.54718,0.49207,0.14953,0.073,0.03105,0.013680000000000001,0.1537,0.33925,0.013680000000000001,0.00979,0.02156,0.0,0.59335,0.52278,0.0,0.0,0.04861,0.05445,0.34405,0.48026,0.05445,0.043460000000000006,0.05749,0.2339,0.38785,0.26092,0.2339,0.0968
circle,0.14531,0.1836,0.67079,0.58848,0.1836,0.14344,0.11309000000000001,0.26026,0.50913,0.37093000000000004,0.26026,0.10820999999999999,0.07597999999999999,0.13278,0.23442,0.40221,0.13278,0.0692,0.08607999999999999,0.11796,0.22634,0.34175,0.11796,0.09229,0.07036,0.18842,0.7039,0.79603,0.18842,0.06357,0.21281,0.2339,0.4435,0.33499,0.2339,0.14656
circle,0.20981999999999998,0.1836,0.31018,0.23204,0.1836,0.1904,0.10612,0.26026,0.5105,0.37093000000000004,0.26026,0.10679000000000001,0.08728,0.13278,0.28399,0.45513000000000003,0.13278,0.08372,0.14668,0.11796,0.48077,0.3613,0.11796,0.14689000000000002,0.0882,0.18842,0.53365,0.68376,0.18842,0.09197999999999999,0.38914,0.28526999999999997,0.46484,0.37393000000000004,0.28526999999999997,0.25081
circle,0.21338000000000001,0.28665999999999997,0.38823,0.27628,0.28665999999999997,0.21405,0.08738,0.129,0.55366,0.53556,0.129,0.05205,0.04955,0.15509,0.30203,0.46082,0.15509,0.05201,0.06481,0.09892000000000001,0.52366,0.4058,0.09892000000000001,0.15253,0.08093,0.10752,0.09907,0.342,0.10752,0.09484,0.4538,0.71945,0.49145,0.28399,0.71945,0.41102
circle,0.16814,0.28665999999999997,0.55523,0.52255,0.28665999999999997,0.21261,0.08266,0.129,0.38805,0.28208,0.129,0.06114,0.09078,0.23066,0.3388,0.48123999999999995,0.23066,0.08371,0.09652999999999999,0.19477,0.33682,0.34776999999999997,0.19477,0.18382,0.09801,0.10752,0.5645399999999999,0.7612899999999999,0.10752,0.09192,0.41088,0.71945,0.43831000000000003,0.29566,0.71945,0.44666000000000006
circle,0.20004,0.35548,0.37221,0.37981,0.35548,0.22818000000000002,0.14232,0.19849,0.51325,0.47561000000000003,0.19849,0.11915999999999999,0.11474000000000001,0.23066,0.33660999999999996,0.49463999999999997,0.23066,0.11417999999999999,0.1418,0.20554,0.47322,0.42821000000000004,0.20554,0.16025999999999999,0.10264000000000001,0.25137,0.50729,0.49208,0.25137,0.11509000000000001,0.34171999999999997,0.25427,0.46974,0.4939,0.25427,0.36985999999999997
circle,0.14009000000000002,0.35548,0.59208,0.63857,0.35548,0.17739000000000002,0.17645999999999998,0.19849,0.56001,0.5203300000000001,0.19849,0.12809,0.14989,0.28068000000000004,0.43438999999999994,0.55124,0.28068000000000004,0.14340999999999998,0.20322,0.57777,0.72951,0.58638,0.57777,0.31928,0.07091,0.25137,0.32485,0.39399999999999996,0.25137,0.12425,0.39754,0.21998,0.28263,0.37301999999999996,0.21998,0.44595
circle,0.14322000000000001,0.5261100000000001,0.38079,0.46326000000000006,0.5261100000000001,0.14463,0.06255,0.20282999999999998,0.38505,0.3237,0.20282999999999998,0.0775,0.154,0.32206999999999997,0.46306,0.54688,0.32206999999999997,0.13699999999999998,0.16405999999999998,0.57777,0.32156999999999997,0.28793,0.57777,0.44354,0.07893,0.39969,0.38695999999999997,0.5322600000000001,0.39969,0.10224,0.40852,0.46076999999999996,0.57731,0.45942,0.46076999999999996,0.47271
circle,0.15314,0.5261100000000001,0.30673,0.43072,0.5261100000000001,0.15613,0.06347,0.20282999999999998,0.42445,0.34824,0.20282999999999998,0.05826,0.06333,0.32206999999999997,0.38306,0.52512,0.32206999999999997,0.10217999999999999,0.055970000000000006,0.027880000000000002,0.039689999999999996,0.2332,0.027880000000000002,0.23897,0.09168,0.39969,0.18511,0.39518000000000003,0.39969,0.11447,0.35475,0.46076999999999996,0.8340700000000001,0.5533,0.46076999999999996,0.3735
